CustomerId,CustomerName,EmailAddress,CustomerSegment,Country
bdd640fb-0667-4ad1-9c80-317fa3b1799d_0,Daniel Doyle 0,fjohnsonhall.com0@example.com,Online,Germany
a65ed389-b74d-4fb1-b2e7-06298fadc1a6_1,Jennifer Cole 1,blakeerikyahoo.com1@example.com,Retail,France
371ecd7b-27cd-4130-8722-9389571aa876_2,Gabrielle Davis 2,melanie94blair.com2@example.com,Online,France
142c3fe8-60e7-4113-ac1b-8ca1f91e1d4c_3,Sandra Montgomery 3,janetwilliamsgmail.com3@example.com,Online,France
146d3f31-fc37-4a4c-8a15-544dc5e7ce8a_4,Sharon James 4,francisco53hotmail.com4@example.com,Retail,UK
aefcfad8-efc8-4849-b3aa-7efe4458a885_5,Lisa Jackson 5,stevennelsonwatts.com5@example.com,Retail,Germany
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9_6,Derek Clark 6,dianafosterhotmail.com6@example.com,Online,Canada
23bed01d-43cf-4fde-a493-3b83757750a9_7,Justin Baker 7,icoxhotmail.com7@example.com,Wholesale,Canada
0c0fd195-c17a-408a-9745-d6d87e570ddf_8,Brittany Moore 8,cruzcaitlinyahoo.com8@example.com,Online,UK
8da0365b-f898-47b9-805c-acec877409a9_9,Alexandra Le 9,daniel62yahoo.com9@example.com,Online,France
e037e5ed-b8db-4672-b42d-47cc00d4af59_10,Valerie Gill 10,meagan89hernandez.net10@example.com,Online,USA
87c5421e-ec24-43c5-8754-108ff4188f3f_11,Linda Burns 11,natasha43allen.com11@example.com,Online,UK
d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269_12,Philip Cannon 12,karroyorose-obrien.com12@example.com,Retail,UK
badcc32a-c159-4f53-8a0f-4efbedcd465e_13,Michelle Ross 13,clamgmail.com13@example.com,Online,Germany
568cc69b-1064-405c-b985-c3cf3f76be1d_14,Julian Chapman 14,zimmermanbrianwhitehead.com14@example.com,Wholesale,Canada
ab4220a7-474a-493b-bced-df2d839fbc50_15,Mr. Nathaniel Khan 15,kristenaguirregmail.com15@example.com,Retail,UK
6e595ed3-a8b3-47fa-98d0-752b1825bc54_16,Jason Shields 16,brownjessicawright.net16@example.com,Wholesale,UK
2ef91276-6c00-4f61-a3e2-fcb472d8567d_17,David Leblanc 17,williamsyvettegmail.com17@example.com,Wholesale,France
c0e9ab30-ed26-42e9-97e0-11b7f8102383_18,Carol Tucker 18,kbarrerasmith-myers.info18@example.com,Wholesale,France
f512c4c3-b253-4218-ac4a-37ea490617f2_19,Rachel Stanley 19,jamesrobinsongmail.com19@example.com,Wholesale,USA
0f9aea4b-8acd-4e10-bc59-4585944528c0_20,Amy Silva 20,yuchristopherjones.com20@example.com,Retail,Germany
e3e9de99-f10c-418b-9eb0-e38a675dd5af_21,Lauren Williams 21,ksandovalstewart.com21@example.com,Retail,USA
21813d25-6552-48a6-83ff-50113d1a85dd_22,Elizabeth Stewart 22,ellisyolandajones.net22@example.com,Wholesale,France
5958a499-eeea-463e-a1e8-ac6843e42caf_23,Sherry Wood 23,tbasscarr-archer.net23@example.com,Wholesale,Canada
8dfa6a56-d12d-4c9a-aaf9-15310200b1f0_24,Matthew Mcmillan 24,darrell18nelson.com24@example.com,Retail,France
afffcfd2-341e-440b-97c7-00aab7b56ea7_25,Deborah Freeman 25,waltersmariasmith.com25@example.com,Retail,Germany
8d3aed99-711c-41c9-bdc1-4f1f295d6fbf_26,Kristina Rodriguez 26,davenportbrandijordan.com26@example.com,Retail,France
cbceabde-eede-4b07-a623-a6895d59cd2a_27,Amanda Howard 27,gomezanitadickson-brady.com27@example.com,Online,Germany
ccc56569-f9e8-4369-a999-b735dd56cc94_28,Sierra Johnson 28,vphamgmail.com28@example.com,Online,Germany
b386f7a4-c991-403f-a8c1-3091444d610b_29,Shane Garrison 29,lisastevenshoover-savage.com29@example.com,Online,Germany
6601ddd0-3170-4437-a8f7-ef5a060edf5b_30,Sean Rasmussen 30,darlene68yahoo.com30@example.com,Wholesale,Germany
e08596db-1d87-4966-8710-d430f071d879_31,Cassandra Estes 31,rodriguezryanhotmail.com31@example.com,Online,Germany
9b3080d5-6fb7-4271-904d-281fc9535b63_32,Mrs. Stephanie Lee 32,zsmithmcdaniel.com32@example.com,Wholesale,Canada
f2e9702d-11e9-4daa-ae69-81a35d3d9e56_33,Erin Edwards 33,william65terry-spencer.com33@example.com,Wholesale,USA
610faa3f-f0bb-4c67-aa38-d0a16ba25efe_34,Stephanie Gilbert 34,akelleyyahoo.com34@example.com,Online,UK
c9277d9b-6e0d-4648-b5ce-884149732d6c_35,Mary Marshall 35,williamleonhotmail.com35@example.com,Wholesale,USA
48a639d0-15b5-4908-a8aa-71582b70e525_36,Mackenzie Rogers 36,jeffrey32williams.org36@example.com,Online,Germany
74962764-12a4-4ef0-84bb-b7a9d98868dd_37,Mark Lee 37,jrosshotmail.com37@example.com,Online,Canada
c03f3538-e485-4aa1-816b-6287b00805cc_38,Stacey Osborne 38,lindadominguezwilliams-wright.com38@example.com,Retail,France
76f2dbfe-cd29-436f-a222-82e174daaebf_39,Victoria Larson 39,jrivasyahoo.com39@example.com,Online,Canada
dc8aee30-be60-43f7-a8be-9288e5af6e39_40,David Wright 40,rsimsyahoo.com40@example.com,Retail,Germany
3c07c574-4925-4af1-b6aa-e05b13d5f2f7_41,Francisco Fernandez 41,jessebensonlewis.info41@example.com,Online,Canada
d5385b0e-34f3-493c-8ff0-a55c6a702e2f_42,Taylor Silva 42,wwoodsmolina-castaneda.biz42@example.com,Online,Canada
8bcf53a1-bc10-4a52-bf5d-2fdf89c8d2ab_43,Stephanie Freeman 43,ytuckeryahoo.com43@example.com,Retail,Germany
