SalesOrderNumber,SalesOrderLineNumber,OrderDate,CustomerId,CustomerName,EmailAddress,Item,Quantity,UnitPrice,TaxAmount
ORD1000,1,2023-01-13,bdd640fb-0667-4ad1-9c80-317fa3b1799d,Daniel Doyle,fjohnson@hall.com,Mouse,5,527.54,263.77
ORD1001,5,2023-02-14,a65ed389-b74d-4fb1-b2e7-06298fadc1a6,Jennifer Cole,blakeerik@yahoo.com,Keyboard,7,111.98,78.39
ORD1002,5,2023-01-14,371ecd7b-27cd-4130-8722-9389571aa876,Gabrielle Davis,melanie94@blair.com,Keyboard,4,1446.24,578.5
ORD1003,4,2023-10-29,142c3fe8-60e7-4113-ac1b-8ca1f91e1d4c,Sandra Montgomery,janetwilliams@gmail.com,Smartphone,1,1529.67,152.97
ORD1004,3,2023-03-21,146d3f31-fc37-4a4c-8a15-544dc5e7ce8a,Sharon James,francisco53@hotmail.com,Tablet,6,249.31,149.59
ORD1005,3,2023-11-06,aefcfad8-efc8-4849-b3aa-7efe4458a885,Lisa Jackson,stevennelson@watts.com,Smartphone,1,1472.98,147.3
ORD1006,4,2023-02-10,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,Derek Clark,dianafoster@hotmail.com,Keyboard,5,1667.34,833.67
ORD1007,5,2023-04-09,23bed01d-43cf-4fde-a493-3b83757750a9,Justin Baker,icox@hotmail.com,Mouse,2,139.36,27.87
ORD1008,1,2023-04-30,0c0fd195-c17a-408a-9745-d6d87e570ddf,Brittany Moore,cruzcaitlin@yahoo.com,Laptop,7,592.05,414.43
ORD1009,3,2023-07-01,8da0365b-f898-47b9-805c-acec877409a9,Alexandra Le,daniel62@yahoo.com,Tablet,5,1418.55,709.28
ORD1010,2,2023-10-01,e037e5ed-b8db-4672-b42d-47cc00d4af59,Valerie Gill,meagan89@hernandez.net,Mouse,4,368.63,147.45
ORD1011,5,2023-04-23,87c5421e-ec24-43c5-8754-108ff4188f3f,Linda Burns,natasha43@allen.com,Mouse,6,1693.56,1016.14
ORD1012,1,2023-06-11,d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,Philip Cannon,karroyo@rose-obrien.com,Monitor,5,179.07,89.53
ORD1013,3,2023-04-19,badcc32a-c159-4f53-8a0f-4efbedcd465e,Michelle Ross,clam@gmail.com,Mouse,8,821.48,657.18
ORD1014,3,2023-03-13,568cc69b-1064-405c-b985-c3cf3f76be1d,Julian Chapman,zimmermanbrian@whitehead.com,Tablet,9,1101.01,990.91
ORD1015,5,2023-07-24,ab4220a7-474a-493b-bced-df2d839fbc50,Mr. Nathaniel Khan,kristenaguirre@gmail.com,Smartphone,4,1994.79,797.92
ORD1016,1,2023-02-26,6e595ed3-a8b3-47fa-98d0-752b1825bc54,Jason Shields,brownjessica@wright.net,Tablet,3,1594.55,478.37
ORD1017,4,2023-11-02,2ef91276-6c00-4f61-a3e2-fcb472d8567d,David Leblanc,williamsyvette@gmail.com,Monitor,9,540.26,486.23
ORD1018,1,2023-12-16,c0e9ab30-ed26-42e9-97e0-11b7f8102383,Carol Tucker,kbarrera@smith-myers.info,Keyboard,5,1548.77,774.39
ORD1019,2,2023-08-21,f512c4c3-b253-4218-ac4a-37ea490617f2,Rachel Stanley,jamesrobinson@gmail.com,Laptop,5,1945.18,972.59
ORD1020,1,2023-11-17,0f9aea4b-8acd-4e10-bc59-4585944528c0,Amy Silva,yuchristopher@jones.com,Smartphone,9,1237.49,1113.74
ORD1021,5,2023-09-29,e3e9de99-f10c-418b-9eb0-e38a675dd5af,Lauren Williams,ksandoval@stewart.com,Laptop,0,682.1,682.1
