SalesOrderNumber,OrderDate,CustomerName,EmailAddress,Item,Quantity,UnitPrice,TaxAmount,ProductMetadata
SO1000,2025-05-02,James Salinas,andrewwilliams@smith.net,Widget A,5.0,40.66,3.25,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1001,2025-01-16,Andrew Gibson,jeanette60@gmail.com,Widget C,3.0,76.32,6.11,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1002,2024-08-29,James Vance,paul57@harris.com,Gadget Y,10.0,52.2,4.18,"{""color"": ""green"", ""warranty"": ""3 years""}"
SO1003,2025-04-22,Karina Douglas,qreynolds@graham.com,Widget B,10.0,21.56,1.72,"{""color"": ""red"", ""warranty"": ""3 years""}"
SO1004,2025-02-27,Jessica Santos,xbryant@gmail.com,Gadget Y,20.0,96.36,7.71,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1005,2024-06-27,Christopher Phillips,,Gadget X,five,32.37,2.59,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1006,2025-01-16,Patricia White,uowen@smith-bowman.info,Widget B,20.0,67.95,5.44,"{""color"": ""green"", ""warranty"": ""3 years""}"
SO1007,2025-05-16,Edward Gallagher,sophiaramirez@mcdonald.com,Widget A,10.0,86.76,6.94,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1008,2024-10-09,Kristopher Bennett,benjaminmccoy@wilson.info,Widget A,0.0,44.21,3.54,"{""color"": ""red"", ""warranty"": ""3 years""}"
SO1009,2024-07-29,Samantha Smith,matthewgarcia@yahoo.com,Gadget Y,0.0,89.47,7.16,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1010,2024-09-13,Tiffany Floyd,roberthebert@hotmail.com,Gadget Y,1.0,eighty,5.99,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1011,2024-10-31,Amy Miller,mirandacasey@hampton-flowers.biz,Widget A,3.0,23.93,1.91,"{""color"": ""red"", ""warranty"": ""3 years""}"
SO1012,2024-11-08,Dawn Smith,andreafarrell@warren.com,Widget B,20.0,51.98,4.16,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1013,2024-05-18,Tyler Cole,rodriguezjames@thomas-cook.com,Gadget X,5.0,73.52,5.88,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1014,2024-07-12,Christopher Wheeler,walkernicole@hotmail.com,Widget B,1.0,25.34,2.03,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1015,2025-01-14,Aimee Garcia,chelsea29@hotmail.com,Gadget X,1.0,49.63,3.97,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1016,2025-01-15,Robert Li,christine57@roth.net,Widget C,5.0,86.0,6.88,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1017,2025-01-30,Mindy Thompson,jacquelineruiz@yahoo.com,Gadget X,0.0,89.04,7.12,"{""color"": ""green"", ""warranty"": ""2 years""}"
SO1018,2024-12-18,Brittany Davis MD,kathyscott@gmail.com,Widget B,5.0,42.41,3.39,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1019,2025-02-13,Jennifer Burton MD,bensontamara@wilson.com,Widget B,10.0,12.67,1.01,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1020,2025-03-20,Mark Brown,paulwilliams@johnson-werner.net,Widget A,2.0,14.93,1.19,"{""color"": ""red"", ""warranty"": ""3 years""}"
SO1021,2025-03-25,Mark Hammond,elizabethkim@gmail.com,Widget A,,96.58,7.73,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1022,2024-06-29,Jesse Vasquez,fvargas@yahoo.com,Widget A,5.0,91.46,7.32,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1023,2024-06-18,Willie Avila,bgarcia@davis.net,Gadget Y,20.0,28.98,2.32,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1024,2024-12-07,Walter Mcmillan,,Widget B,20.0,94.67,7.57,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1025,2024-10-26,Emily Snyder,jweaver@howell.com,Widget A,2.0,48.48,3.88,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1026,2024-06-19,Mr. Timothy Chapman IV,robinking@garcia-hansen.com,Widget B,2.0,94.44,7.56,"{""color"": ""red"", ""warranty"": ""3 years""}"
SO1027,2024-06-06,Patrick Nelson,willieramirez@thompson.com,Widget B,1.0,33.76,2.7,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1028,2025-04-01,Sarah Martin,scott55@thompson.com,Widget B,,91.46,7.32,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1029,2025-02-03,Erik Miller,carolyn40@gmail.com,Gadget Y,0.0,96.24,7.7,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1030,2024-05-28,Sarah Allen,goodmanlindsey@brown-ross.com,Gadget X,2.0,42.73,3.42,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1031,2025-02-21,Wendy Wheeler,,Widget A,3.0,37.75,3.02,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1032,2024-10-29,Robert Diaz,,Gadget X,5.0,39.84,3.19,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1033,2025-03-16,Devin Pitts,hmartinez@morris.info,Gadget Y,5.0,84.34,6.75,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1034,2024-08-22,Andre Barrera,,Gadget Y,5.0,90.85,7.27,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1035,2025-04-09,Michael Allen,goodwinabigail@lee.org,Gadget Y,20.0,65.65,5.25,"{""color"": ""green"", ""warranty"": ""3 years""}"
SO1036,2025-03-15,Jennifer Moore,powersbenjamin@walter.info,Gadget Y,5.0,65.91,5.27,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1037,2024-12-13,Alison Walker,samantha35@snow.com,Widget A,3.0,27.79,2.22,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1038,2025-04-02,Chelsea Cooper,gwang@hotmail.com,Widget A,0.0,16.28,1.3,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1039,2025-04-16,Alex Carroll,jacob14@yahoo.com,Gadget Y,10.0,91.95,7.36,"{""color"": ""blue"", ""warranty"": ""1 year""}"
